4	16	30
23	7	65
8	14	58
1	3	50
7	8	77
15	6	65
11	2	65
19	4	65
1	17	30
20	10	65
12	5	65
4	6	45
3	14	38
8	1	77
0	10	15
21	8	65
14	4	65
4	18	25
14	9	65
9	4	65
14	11	57
22	8	65
23	8	65
23	12	55
17	13	57
18	15	60
21	4	65
5	6	60
15	6	65
11	13	57
22	17	47
12	17	47
1	17	30
16	2	65
15	13	57
16	5	65
11	17	47
10	15	60
18	17	47
7	15	60
3	13	37
18	18	45
11	23	45
7	10	77
9	1	77
5	8	60
12	12	55
1	6	50
15	4	65
1	17	30
14	7	65
18	12	55
17	20	45
23	0	110
18	8	65
14	15	60
3	11	37
8	16	50
17	1	77
21	4	65
7	13	60
18	15	60
1	8	50
17	18	45
14	7	65
2	6	45
16	11	57
19	19	45
20	9	65
9	14	58
8	9	65
18	1	77
6	12	45
17	4	65
20	7	65
5	9	60
20	13	57
7	21	50
15	16	50
6	2	55
17	23	45
8	2	65
9	12	55
23	22	45
8	4	65
5	13	50
3	1	50
14	8	65
22	21	45
1	10	50
23	20	45
2	12	35
12	20	45
23	14	58
3	17	28
13	2	65
12	1	77
22	19	45
4	14	38
9	19	45
9	18	45
23	9	65
5	20	30
5	9	60
17	16	50
11	6	65
7	13	60
0	3	15
4	16	30
15	15	60
8	23	45
18	6	65
11	15	60
17	12	55
22	14	58
23	12	55
3	5	45
10	23	45
3	13	37
5	9	60
2	11	37
11	13	57
8	22	45
2	16	30
14	4	65
2	11	37
3	12	35
17	2	65
19	23	45
12	1	77
19	8	65
3	6	45
19	18	45
2	2	45
0	17	15
8	2	65
13	0	110
22	18	45
13	18	45
5	16	30
16	4	65
12	14	58
8	15	60
21	17	47
22	11	57
3	15	40
6	23	25
19	21	45
4	14	38
3	22	25
1	19	30
3	8	45
14	5	65
15	9	65
12	21	45
6	23	25
5	4	60
2	20	25
10	18	45
20	16	50
10	1	77
11	1	77
12	16	50
17	5	65
2	19	25
2	8	45
18	0	110
2	9	45
9	12	55
10	14	58
22	12	55
23	0	110
9	0	110
7	2	77
14	1	77
0	3	15
2	3	45
23	3	65
9	14	58
18	10	65
9	15	60
11	3	65
14	19	45
9	7	65
11	3	65
20	6	65
18	2	65
21	17	47
16	12	55
0	11	15
8	1	77
7	22	50
2	15	40
4	9	45
8	22	45
18	7	65
5	4	60
9	11	57
10	9	65
20	15	60
14	5	65
1	12	40
18	21	45
20	20	45
6	20	25
0	19	15
3	22	25
11	20	45
22	8	65
21	0	110
14	3	65
21	17	47
2	8	45
0	12	15
2	13	37
7	5	77
0	5	15
19	5	65
10	22	45
0	22	15
16	4	65
19	7	65
12	3	65
2	18	25
11	9	65
22	11	57
22	18	45
23	20	45
5	13	50
13	11	57
17	20	45
14	5	65
20	1	77
0	11	15
0	19	15
21	19	45
0	16	15
22	10	65
7	4	77
22	12	55
19	8	65
20	22	45
6	14	48
20	11	57
1	1	50
19	11	57
12	1	77
20	2	65
6	4	55
20	4	65
6	0	65
15	6	65
20	12	55
20	8	65
15	23	45
12	14	58
20	8	65
18	6	65
7	4	77
8	20	45
2	14	38
14	0	110
23	9	65
7	9	77
3	17	28
10	11	57
1	16	30
17	4	65
15	4	65
2	21	25
9	5	65
8	12	55
9	13	57
13	22	45
16	8	65
14	9	65
20	2	65
19	7	65
13	8	65
17	22	45
5	6	60
14	5	65
12	16	50
17	9	65
21	20	45
11	14	58
1	20	30
22	9	65
14	10	65
0	2	15
11	13	57
12	7	65
19	8	65
13	3	65
19	17	47
8	5	65
18	6	65
21	21	45
20	11	57
17	1	77
18	17	47
12	6	65
18	8	65
18	2	65
23	21	45
8	6	65
5	7	60
20	17	47
3	3	45
9	8	65
13	16	50
22	18	45
12	5	65
10	23	45
5	14	50
7	16	50
19	21	45
16	9	65
17	12	55
23	3	65
16	9	65
23	7	65
1	3	50
19	21	45
8	17	47
2	2	45
14	10	65
0	0	15
17	15	60
10	23	45
18	20	45
21	1	77
2	13	37
3	19	25
2	5	45
19	8	65
14	18	45
4	16	30
13	5	65
6	5	55
15	21	45
5	22	30
3	3	45
10	12	55
4	0	55
8	2	65
8	18	45
16	1	77
21	5	65
18	1	77
16	7	65
0	12	15
3	4	45
0	13	15
10	0	110
15	6	65
11	3	65
12	15	60
16	22	45
8	18	45
9	19	45
0	2	15
18	11	57
4	12	35
7	10	77
16	14	58
0	4	15
4	21	25
13	11	57
9	10	65
23	16	50
11	20	45
16	15	60
6	17	28
16	23	45
6	21	25
21	6	65
15	6	65
22	4	65
5	6	60
20	22	45
9	7	65
22	3	65
1	5	50
15	11	57
19	20	45
6	2	55
6	3	55
10	20	45
20	0	110
16	11	57
16	3	65
18	20	45
8	7	65
22	16	50
7	19	50
0	22	15
2	14	38
5	22	30
12	17	47
13	8	65
9	6	65
4	2	45
12	6	65
13	0	110
13	17	47
19	22	45
10	14	58
22	1	77
16	3	65
22	20	45
14	22	45
0	15	15
6	17	28
10	1	77
2	12	35
3	14	38
23	13	57
20	11	57
8	2	65
6	6	55
2	23	25
6	19	25
23	3	65
12	2	65
2	21	25
20	20	45
14	20	45
6	11	47
2	19	25
16	17	47
21	12	55
6	1	60
2	19	25
19	18	45
16	3	65
15	18	45
1	15	40
21	23	45
13	14	58
0	9	15
2	9	45
9	19	45
2	17	28
8	8	65
9	1	77
12	10	65
2	11	37
0	13	15
5	6	60
5	18	30
7	5	77
22	0	110
5	11	60
4	5	45
14	10	65
6	11	47
21	20	45
12	5	65
16	8	65
16	8	65
0	14	15
2	23	25
13	22	45
7	6	77
20	2	65
21	0	110
16	19	45
6	20	25
3	9	45
22	10	65
7	21	50
10	4	65
14	8	65
23	15	60
18	15	60
4	17	28
2	22	25
14	12	55
9	16	50
22	8	65
20	1	77
16	15	60
8	19	45
19	18	45
6	20	25
8	18	45
13	9	65
1	0	60
2	4	45
15	21	45
21	0	110
8	21	45
11	5	65
3	14	38
4	7	45
17	16	50
17	1	77
18	4	65
20	23	45
17	14	58
3	17	28
13	23	45
10	3	65
13	11	57
4	17	28
0	18	15
14	0	110
6	10	55
0	0	15
6	17	28
1	13	40
20	0	110
5	21	30
6	3	55
22	12	55
4	20	25
13	10	65
11	8	65
11	7	65
4	18	25
8	21	45
5	19	30
23	19	45
11	3	65
4	10	45
10	8	65
11	23	45
20	21	45
15	17	47
17	15	60
11	5	65
1	17	30
0	14	15
3	7	45
4	16	30
1	7	50
11	3	65
19	19	45
21	12	55
4	19	25
20	23	45
4	16	30
7	1	77
19	19	45
8	18	45
15	4	65
23	8	65
19	23	45
1	22	30
12	0	110
1	3	50
0	7	15
0	7	15
21	7	65
12	17	47
12	16	50
3	11	37
0	20	15
10	23	45
23	23	45
6	19	25
11	15	60
22	15	60
21	19	45
19	7	65
16	0	110
5	12	50
13	6	65
20	13	57
16	18	45
16	12	55
14	13	57
13	3	65
18	17	47
6	4	55
11	19	45
20	8	65
18	12	55
20	7	65
21	1	77
19	22	45
20	11	57
22	15	60
5	17	30
2	10	45
8	17	47
20	18	45
1	13	40
7	10	77
21	10	65
8	5	65
2	20	25
7	5	77
16	6	65
20	4	65
6	14	48
12	6	65
11	4	65
15	16	50
10	2	65
6	17	28
1	23	30
14	22	45
6	22	25
20	20	45
13	12	55
4	22	25
11	7	65
2	15	40
16	9	65
12	17	47
21	4	65
2	4	45
2	23	25
19	10	65
2	23	25
5	15	50
14	17	47
1	6	50
2	3	45
17	22	45
16	10	65
14	11	57
7	14	60
2	1	50
7	18	50
7	4	77
20	16	50
2	3	45
13	17	47
16	18	45
0	2	15
3	6	45
4	2	45
0	4	15
10	0	110
17	19	45
8	1	77
18	8	65
19	23	45
18	15	60
9	21	45
8	23	45
1	23	30
23	15	60
7	6	77
16	4	65
0	9	15
2	4	45
14	7	65
17	5	65
16	17	47
8	7	65
10	13	57
4	8	45
12	12	55
14	14	58
17	21	45
20	15	60
15	19	45
14	20	45
5	17	30
16	12	55
22	14	58
8	13	57
1	4	50
6	21	25
18	18	45
19	6	65
17	1	77
15	0	110
5	11	60
3	1	50
12	7	65
8	7	65
1	17	30
18	14	58
3	7	45
4	21	25
14	23	45
1	3	50
1	20	30
4	23	25
3	23	25
5	5	60
10	1	77
17	12	55
10	14	58
4	20	25
14	6	65
14	13	57
14	6	65
23	10	65
13	3	65
8	13	57
21	22	45
16	12	55
17	19	45
7	9	77
7	20	50
11	7	65
9	18	45
20	16	50
23	3	65
6	19	25
18	23	45
3	19	25
15	12	55
10	3	65
6	10	55
8	22	45
5	9	60
9	3	65
6	6	55
3	13	37
11	13	57
8	16	50
9	16	50
22	7	65
0	5	15
20	19	45
21	13	57
19	14	58
9	1	77
22	14	58
2	23	25
0	13	15
20	11	57
17	20	45
20	9	65
20	0	110
17	6	65
8	21	45
7	22	50
9	15	60
9	7	65
10	7	65
2	13	37
2	18	25
17	7	65
16	14	58
15	23	45
20	5	65
21	15	60
3	12	35
6	23	25
14	5	65
7	19	50
16	17	47
15	0	110
10	2	65
7	15	60
5	19	30
23	18	45
3	3	45
17	12	55
19	6	65
23	14	58
23	4	65
20	11	57
12	6	65
9	12	55
13	18	45
15	8	65
3	0	55
20	11	57
21	20	45
12	8	65
16	4	65
5	9	60
4	12	35
15	19	45
19	13	57
14	14	58
23	12	55
22	2	65
6	14	48
17	6	65
20	1	77
7	17	50
14	14	58
11	3	65
6	3	55
6	6	55
16	21	45
3	14	38
8	10	65
6	23	25
21	4	65
2	22	25
14	2	65
13	8	65
8	9	65
2	6	45
9	7	65
10	2	65
12	8	65
16	11	57
9	17	47
0	12	15
8	10	65
19	20	45
18	17	47
18	6	65
13	9	65
4	0	55
18	10	65
15	8	65
12	9	65
15	2	65
22	0	110
5	15	50
1	9	50
14	16	50
2	3	45
6	0	65
13	23	45
10	23	45
0	21	15
8	19	45
5	7	60
11	16	50
21	7	65
14	0	110
14	20	45
20	22	45
17	8	65
10	12	55
10	5	65
10	21	45
21	5	65
21	13	57
9	9	65
20	4	65
4	1	50
2	17	28
19	19	45
17	11	57
4	6	45
0	3	15
2	14	38
22	21	45
12	18	45
23	6	65
11	8	65
0	7	15
13	3	65
7	7	77
3	11	37
12	7	65
19	11	57
6	14	48
3	15	40
3	5	45
19	12	55
16	21	45
13	17	47
1	20	30
20	11	57
22	7	65
22	23	45
3	1	50
8	17	47
2	18	25
4	9	45
22	19	45
9	21	45
23	21	45
16	17	47
5	1	60
6	2	55
18	10	65
19	3	65
9	15	60
5	7	60
5	12	50
9	21	45
16	8	65
16	18	45
1	2	50
18	8	65
16	12	55
2	19	25
17	2	65
